Player,Rank,Grade,Analysis
Avieon Terrell,13,6.7,Terrell has the speed reactive athleticism transition quickness and ball skills wanted in a starting corner at the next level but a lack of play strength and inconsistent effort in the run game could hold him back from reaching a high ceiling.
Spencer Fano,14,6.7,Fano is a starting-caliber NFL tackle who displays the leverage hand usage and temperament needed for the position but he’ll need to improve his pass pro consistency and add mass to his frame in order to hit his high ceiling.
Chris Brazzell,15,6.7,Brazzell is a height/weight/speed receiver who has the release package explosiveness out of breaks and a large catch radius to make a difference at the next level as long as he takes to an NFL route tree and can improve some after the catch.
Denzel Boston,16,6.7,Boston is a big-bodied receiver with smooth athleticism who can be a ball-winner in contested catch situations with strong hands and a physical frame.
Brandon Cisse,17,6.7,Cisse is a talented cornerback with speed and athleticism to cover all areas of the field and as he continues to develop physically and instinctually he can be a high-level defender at the next level.
Colton Hood,18,6.7,Hood showcases lockdown potential on the outside and if he can round out his game to improve his consistent impact NFL receivers will be on notice.
Olaivavega Ioane,19,6.7,Ioane is an aggressive guard that has the power and physicality to produce immediately in the run game along with enough foot quickness to mirror interior pass rushers at the next level.
Akheem Mesidor,20,6.7,Mesidor is a powerful high-motor EDGE whose suddenness heavy hands and physicality make him a highly-effective pass rusher and if he can improve his effectiveness against the run his potential is through the roof.
Makai Lemon,21,6.7,Lemon is a sudden receiver with consistent hands that can separate at the LOS in his route and at the catch point making him a prospect that should develop into a passer’s favorite target when they need to make a completion though his lack of catch radius and unpolished skill set could lead to some growing pains early in his career.
CJ Allen,22,6.7,Allen is an instinctual quick-reacting off-ball linebacker who can be stout against the run and be a reliable coverage defender at the 2nd level of the defense.
Dillon Thieneman,23,6.7,Thieneman is a smart instinctual and versatile leader on the back end of the defense whose excellence in zone coverage and impact at all 3 levels of the field will help him make a difference early on in his career.
Emmanuel McNeil-Warren,24,6.7,McNeil-Warren has the versatility to play both deep safety and hover around the box due to his range instincts physicality and high-level playmaking ability but he will need to improve on his angles and tackling consistency to reach his potential at the next level.
Kayden McDonald,25,6.7,McDonald has what it takes to be a disruptive force at the nose tackle position at the next level through his physical tools play strength and hand usage but he has room to grow as a pass rusher which he should be able to do given his current inexperience.
Lee Hunter,26,6.7,Hunter is a massive nose tackle with the burst strength and run stuffing ability to be a prototypical nose tackle while he continues to improve his pass rushing impact on his way to a true three-down player.
Fernando Mendoza,27,6.6,Mendoza is an experienced quarterback with good height that can make every throw on the field and plays with a consistent confidence that bleeds into his teammates and though he lacks big-time arm strength or athleticism he can lead a team to a championship at the next level.
Kenyon Sadiq,28,6.6,Sadiq is an athletic competitive smart tight end who has the ability to be a mismatch at the next level but a lack of size and RAC skills could limit his overall effectiveness as an H-only player.
TJ Parker,29,6.6,Parker is a powerful and young edge rusher prospect with good length for the position who can contribute on early downs right away while he develops the pass rush repertoire needed to offset his limitations in top-end twitch and bend.
Keldric Faulk,30,6.6,Faulk is an NFL-ready run defender who has the physical tools to be an effective pass rusher if he improves his get-off plays with more purpose and plays with better pad level.
Caleb Lomu,31,6.6,Lomu is a technically-sound pass protector with natural athleticism and polished hand usage and as his body develops and adds more strength to his frame he can be a well-rounded player and a franchise left tackle.
Caleb Banks,32,6.6,Banks is a strong powerful scheme-versatile defensive lineman with an intriguing combination of strength and explosiveness that allows him to win early and flash dominance but inconsistent pad level and a lack of finishing ability could hold him back early in his career.
Anthony Hill Jr,33,6.6,Hill will need to develop his abilities in coverage and clean up some over-aggressiveness to reach his ceiling but his football intelligence downhill thumping style and difference-making blitzing ability will make him a starter at the next level.
Zachariah Branch,34,6.6,Branch has the speed and suddenness NFL teams are looking for in a wide receiver and his elite return ability only adds to his value.
Cashius Howell,35,6.6,Howell has the suddenness hand use and overall pass rush ability to be a difference maker at the next level but his inconsistency against the run makes him a high-end designated pass rusher early in his career.
Romello Height,36,6.6,Height is a slightly undersized explosive athlete who can get after the quarterback however he will have to become more impactful in the run game to reach his full potential as a true every-down starter.
R Mason Thomas,37,6.6,Thomas is a relentless DPR whose get-off quickness explosion suddenness and hand usage make him a threat off the edge as he navigates consistency in the run game due to a lack of length and set-edge ability.
Ja'Kobi Lane,38,6.5,Lane is a long lanky receiver whose strong hands tracking ability and concentration in contested situations make him a vital piece to a receiver room at the next level though a lack of play strength and suddenness could hold him back from reaching his full potential.
Blake Miller,39,6.5,Miller is a long trim and athletic tackle who is very technically sound and competitive in both in the run and pass game but he needs to further improve inconsistencies in body control and lower-body flexibility in order to reach his ceiling and be more than a one position player at the next level.
Monroe Freeling,40,6.5,Freeling is an athletic specimen with a very good size a heavy punch and quick feet to warrant a starting spot at the next level. He needs to clean up and tweak some techniques to reach his full potential as a blocker.
Christen Miller,41,6.5,Miller lacks the pass rush impact and production to be a three-down player but his violent hand use strong anchor ability and consistently hot motor make him a solid starting-level run defender at the next level.
Gabe Jacas,42,6.5,Jacas is a strong twitchy EDGE who has a developed pass rushing repertoire and should offer immediate versatile value to an NFL team.
Jadarian Price,43,6.5,Price’s play speed playmaking ability and special teams value will make him an immediate asset to any team but his lack of experience in the passing game will relegate him to being a solid two-down starter at the next level.
Jermod McCoy,44,6.5,McCoy is a versatile corner with good play speed and the upside to be a strong cover corner but his sticky hips and inconsistency locating the football not to mention missing the entire 2025 season could make for a bit more of a learning curve at the next level.
Zion Young,45,6.5,Young is a prototype edge with his size length and strength who can be a high-level run defender and with some refinement to his pass rushing ability can become a difference maker on all 3 downs.
Omar Cooper Jr,46,6.5,Cooper is a sure-handed receiver with the RAC ability to make a difference as a No. 3 receiver in the NFL but he’ll need to work on his release against press and avoiding contact to take his game to the next level.
Max Klare,47,6.5,Klare is a modern ‘move’ tight end that is at his best when aligned in various spots throughout the game and schemed into advantageous matchups where he can expose a defender’s weakness.
KC Concepcion,48,6.5,Concepcion is a dynamic athlete who will be a playmaking threat with the ball in his hands as a runner receiver or returner but some inconsistencies catching the ball could hold him back from reaching his potential.
Sam Hecht,49,6.5,Hecht is a quick technically-sound and fluid-moving center who possesses the skill set to be a starter at the next level but he will need to put on a bit more weight and clean up some of his awareness lapses in pass protection to hit his ceiling.
Gennings Dunker,50,6.5,Dunker is a broad solid guard prospect with the ability to help at tackle in a pinch who excels in the physicality aspects of the game with a fiery demeanor. But he needs to further improve his movement skills in order to maximize his skill set.
Joshua Josephs,51,6.5,Josephs’ length quick get-off and edge setting ability makes him a solid contributor early on in his career but if he can convert some of his length to power refine his PR moves and shore up his eye discipline he can reach a higher ceiling at the next level.
Jacob Rodriguez,52,6.5,While his lack of size and speed will limit him Rodriguez’s high FBI instincts awareness and on-ball impact should make him a low-end starter on defense and outstanding special teamer at the next level.
Kyle Louis,53,6.5,Louis is a bit of a tweener who has a safety skill set and linebacker instincts with the all-around athleticism to make an impact in multiple areas at the next level despite lacking true stack-and-shed ability and elite tackling skills.
Deontae Lawson,54,6.5,Lawson is an athletic and instinctive Mike Linebacker with tremendous downhill explosiveness but his size severely hinders his ability to consistently put himself in a position to make tackles and disengage from offensive lineman.
Eli Stowers,55,6.5,Stowers is an athletic receiving mismatch who will need to improve his strength tenacity and blocking ability to earn the role of a complete tight end in the NFL.
Derrick Moore,56,6.5,Moore best projects as a designated situational pass rusher due to his athleticism and effective speed-to-power rush but his lack of counter moves and questionable leverage in the run game will limit his ability to be a starting edge rusher.
Chris Bell,57,6.5,Bell lacks the consistent effort play speed and overall ability to be a high-end starting-level receiver but his big body and strong hands give him a place in the middle of a receiver rotation at the next level.
Caden Curry,58,6.5,Curry is a disciplined high-effort EDGE who displays the pursuit skills and enough pass rush ability to make an impact at the next level though limited functional strength and length could be what holds him back from reaching his potential.
Keyron Crawford,59,6.5,Crawford possesses the first-step explosion and athleticism to be an effective pass rusher at the next level and if he can play with more strength to his frame he can become an every-down starter.
Dani Dennis-Sutton,60,6.5,Dennis-Sutton has the length hands and strength to be effective at setting the edge early in his career but he lacks some explosion and athleticism off the edge to consistently rush the passer.
Caleb Tiernan,61,6.5,Tiernan is an experienced brute that can move people in the run game and has enough pass protection skills to hold up as a starter on the right side at the next level though his stiffness and high pad level will prevent him from excelling on the outside or sliding into guard.
Skyler Bell,62,6.5,Bell’s savvy separation and ability to come down with tough catches help him to project as a versatile and valuable receiver but his deficiencies in play strength and overall athletic explosiveness will keep him from becoming a bona fide top option at the next level.
Josiah Trotter,63,6.5,Trotter lacks true sideline-to-sideline range and feel in coverage but his age lineage ability to deconstruct blocks burst and pursuit all give an NFL defensive coordinator traits to develop as a starting-level linebacker.
Michael Trigg,64,6.5,Trigg has the raw athletic ability catch radius and downhill speed to be a dangerous and versatile weapon immediately but he must refine his blocking fundamentals if wants to carve out a larger role for himself at the next level.
Jonah Coleman,65,6.5,Coleman is a low-center-of-gravity runner who has the contact balance to break tackles in the run game and the natural hands to catch everything thrown his way in the pass game but inconsistent physicality and a lack of breakaway speed could hold him back at the next level.
Ernest Hausmann,66,6.5,Though there are non-football/commitment concerns and on-field weaknesses to shore up Hausmann’s intelligence instincts and overall athleticism give him the profile to be a starting linebacker at the next level.
D'Angelo Ponds,67,6.4,Ponds is an exceptionally tough cornerback prospect with the ability to be both sticky in man coverage and intelligent in zone coverage and has a knack for making plays on the football but will likely be limited to being a slot-only player at the next level due to his deficiencies in overall size and length. 
Chandler Rivers,68,6.4,Rivers is a naturally reactive athlete with quick COD ability and remarkable coverage instincts and while he lacks elite size he is ultra competitive and can affect the game in a variety of ways.
Ty Simpson,69,6.4,Simpson is a sufficient athlete with toughness and leadership but is relatively inexperienced as a starter and can struggle with his accuracy which will require time and the right situation to fully develop into his potential as a quality starting QB.
Germie Bernard,70,6.4,Bernard is a savvy route runner with strong hands and sturdy frame that allows him to play with physicality after the catch but lacks that top gear to threaten the defense vertically.
Keith Abney II,71,6.4,Abney is a sticky and physical outside corner with impressive ball skills who will cause trouble for NFL wide receivers if he improves his technique.
Emmanuel Pregnon,72,6.4,Pregnon is an experienced and massive interior presence in the trenches who has the power and strength in the run and pass game to be a quality starter early in his NFL career.
Daylen Everette,73,6.4,Everette is an athletic press-friendly outside cornerback who offers a tempting skill set and could become a complete cornerback with a few adjustments.
Kamari Ramsey,74,6.4,Ramsey is a fluid versatile safety who assuming he can clean up tackling and aggression concerns in the run game has the potential to be a high-end cover safety at the next level.
Chase Bisontis,75,6.4,Bisontis plays with great pad level and a firm anchor as a pass protector while also being light on his feet showing the ability to fit into any run scheme making him a plug and play blocker in the interior at the next level.
Jalon Kilgore,76,6.4,Kilgore is a long and versatile defensive back with good range and ball skills in coverage and if he plays with more physicality he can be a consistent contributor for a defense at the next level.
Keionte Scott,77,6.4,Scott is a fiery smart rangy and physical slot corner who should make a difference at the next level but he’ll need to improve his eye discipline and tackle efficiency to reach his full potential.
Logan Jones,78,6.4,Jones will be a reliable and consistent presence in the middle of any offensive line due to his athleticism footwork and effort but he does need to get stronger in his lower half and core if he wants to reach his true ceiling.
Chris Johnson,79,6.4,Johnson is a smart athletic and technically-sound corner who can be sticky in zone coverage and shows patience in press to be a contributor on the outside but he will need to work on his play strength and abilities in off-man to round out his skill set.
Davison Igbinosun,80,6.4,Igbinosun is a long athletic corner who plays with physicality but has been plagued by mental errors that need to be ironed out of his game for him to be able to reach his full potential.
Brenen Thompson,81,6.4,Speed is the name of Thompson’s game and he pairs that with high-end short-area quickness and tracking skills but his small stature and limited route tree could be something that holds him back at the next level.
Connor Lew,82,6.4,Lew is a smart experienced center with very good awareness that has the upper-body strength to be a reliable short-set anchor but his lack of tenacity vertical push and ultimately positional flexibility will limit his ceiling at the next level.
Malachi Fields,83,6.4,Fields is a prototypical X-receiver who is an immediate red-zone threat due to his size and contested catch ability but his lack of high-level twitch and long speed limit his ability to be a consistent separator down the field.
Elijah Sarratt,84,6.4,Sarratt is a long physical receiver who lacks the deep speed to be a consistent starter but if he can develop his route tree and sure up his route running he could reach a higher ceiling.
Julian Neal,85,6.4,Neal has the comfort in press and the ball skills and tackling aggression to carve out a role on the boundary at the next level but his lack of top speed and slow transition will limit his overall usage.
Genesis Smith,86,6.4,Smith is a true centerfield prospect who was clutch in his do-it-all role in college and if he can improve his tackling and eye discipline he should see meaningful reps at the next level.
Keylan Rutledge,87,6.4,Rutledge is a tough physical and nasty finisher in the run game but he’ll need to improve his hand consistency and leverage in pass pro to become more than just a low-end single-position starter.
Bud Clark,88,6.4,Clark is the definition of a ballhawk and has the hands and closing speed to make impact plays as a turnover machine but his thin frame and lack of impact in the run game limit his appeal as a starting safety early in his career.
Zakee Wheatley,89,6.4,Wheatley possesses the speed range and ball skills to be a safety blanket for any defense but he will need to improve his tackling and play with more physicality to blossom into a versatile chess piece for any defensive coordinator.
Bryce Lance,90,6.4,Lance is a big fast receiver who can become a deep threat at the next level with his tracking ability but his questionable hands linear frame and lack of creation ability after the catch suggest he’s got work to do to hit his high ceiling.
Parker Brailsford,91,6.4,Brailsford is undersized and lacks position flexion but his hand usage intelligence technique and motor will help him to function as a starting center at the next level.
Jalen Huskey,92,6.4,Huskey is a versatile ball-hawking free safety with very good range that can make an impact as a deep defender and an open-field tackler right away and has the potential to be a true 3-level impact safety.
Kevin Coleman Jr,93,6.4,Coleman is a twitchy sudden receiver with dependable hands and strong RAC/return ability to make it as a role-playing starter at the next level but his frail frame combined with limited play strength and struggles vs. physical corners could hold him back.
Louis Moore,94,6.4,Moore is an experienced consistent and opportunistic safety who shows quality instincts in coverage while also being a quality run defender on the back end.
Will Lee III,95,6.4,Lee is a long corner who excels in press man coverage loves to be physical with receivers and has plus ball skills at the catch point but lack of position flexion and an inconsistent motor against the run will limit him to being a No.3 outside-only corner at the next level.
Jake Slaughter,96,6.4,While Slaughter’s clunky lower body lack of natural popping power and inability to stay low due to his length will cause hesitation on his athletic profile some teams will form a line for his fast processing experience and impenetrable pass pro mindset.
Billy Schrauth,97,6.4,Schrauth is an intelligent and technical guard who plays with toughness and nuance to go with his solid frame but limits in power flexibility and reactive athleticism will limit him to being a one-position player at the next level.
Ar'maj Reed-Adams,98,6.4,Reed-Adams is a large experienced guard with a mean streak who will need to play with better hand discipline and foot quickness to earn a starting role at the next level.
DJ Campbell,99,6.4,Campbell has the size and strength to be solid in pass protection and a people mover in the run game but his wide hand placement limited flexibility and penalty issues could hold him back.
AJ Haulcy,100,6.4,Haulcy is an instinctive safety with a compact frame demonstrating natural ball skills and a physical play style but he will need to be more consistent as a tackler in space to become a true every-down player.
Max Iheanachor,101,6.3,Iheanachor needs to improve his technique consistency particularly with drop-back speed hand placement and timing but his combination of size athleticism and strength make him an intriguing project for a team willing to invest the time.
Garrett Nussmeier,102,6.3,Nussmeier has the leadership qualities and deep passing ability to make it as a quality backup at the next level but he’ll need to improve his decision making and footwork if he wants to become a starting-level player.
Cade Klubnik,103,6.3,Klubnik has the arm talent athleticism and composure in the pocket to be an eventual starter at the next level but he will need to clean up his occasional lapses in mechanics strengthen his progressions and reading of defensive rotations to reach his full potential.
Domonique Orange,104,6.3,Big Citrus' is an early-down run plugger who displays raw power and explosion in his hands to cause disruption along the interior
Austin Barber,105,6.3,Barber is a big-framed tackle with good length and functional strength in his body who excels in the run game but needs to keep developing his hand placement and body control as he transitions to the next level.
Dametrious Crownover,106,6.3,Crownover is a rare case of natural and controlled athleticism trapped in a massive frame who is still developing his technical skills as a pass protector but has the tools to be a quality swing tackle with the right development program behind him.
Drew Shelton,107,6.3,Shelton is an athletic mover who possesses the range athleticism and intelligence to be a solid backup OT but he needs to improve his overall play strength if he’s going to compete with elite NFL talent on a consistent basis.
Isaiah World,108,6.3,World has the physical tools to warrant serious NFL looks but he must improve his hand use foot quickness and pad level to be seen as a reliable NFL starter.
Jake Golday,109,6.2,Golday possesses the range speed and size many teams are looking for in their linebackers and he should provide value while his instincts develop.
Brian Parker II,110,6.2,Parker is a smart strong and disciplined offensive lineman who will fit best as a versatile interior offensive lineman given how his lack of length and also his heavy feet will make it more difficult for him to hold up on the edge.
Malachi Lawrence,111,6.2,Lawrence is a twitchy pass rushing prospect with a developed skill set who possesses a high ceiling if he can improve his stoutness at the point of attack and become a more reliable tackler.
Trey Zuhn III,112,6.2,Zuhn is an incredibly experienced lineman with versatility who displays great pass protection and anchor ability but his lack of arm length and foot speed will best suit him as a quality backup along the interior at the next level with spot-starting potential.
Treydan Stukes,113,6.2,Stukes is a lengthy corner with strong closing speed and ball skills but his instincts and mirroring ability have room for improvement as he looks to become a consistent starter at the next level.
Carson Beck,114,6.2,Beck is an experienced quarterback who can play in structure with good pocket awareness and sufficient processing ability but his struggles under pressure and limited arm talent create a low ceiling for him as a passer at the next level.
Nick Singleton,115,6.2,Singleton has the size speed and third-down ability to be a solid starter and kick returner at the next level but it remains to be seen if he can be effective on poorly-blocked plays gain extra yards against bigger opponents and handle a backfield by himself.
Mike Washington Jr,116,6.2,Washington is a big back with an explosive blend of size and speed to reach the open field but he lacks some elusiveness and playmaking ability to be a consistent early-down starter in the run game.
Drew Allar,117,6.2,Allar has high-end arm strength size and ability to make difficult throws look easy but needs to be a more polished passer in the pocket with improved footwork and touch to become a starting-level QB.
Beau Stephens,118,6.2,Stephens is a powerful mauling left guard who looks to finish his blocks but has a limited ceiling due to some physical limitations and struggles blocking more athletic defenders in open space.
LT Overton,119,6.2,Overton is an experienced and versatile defensive lineman who will likely see more snaps on the interior at the next level with good play strength and violence to defend the run but he lacks the explosion and pass rush juice to be a consistent three-down player.
Matt Gulbin,120,6.2,Gulbin is a smart interior blocker who displays good hand usage and his many sufficient traits for the position make him a reliable backup with potential starter upside at the next level.
Jager Burton,121,6.2,Burton is a smart technically-sound interior offensive lineman with true position flexibility who currently lacks the power COD skills and the ability to finish blocks with intent to be an NFL starter.
Emmett Johnson,122,6.2,Johnson has the speed vision and catching ability to help an NFL offense but he will need to improve his strength in his lower body and technique in pass protection if he wants to reach his ceiling of being an every-down starter at the next level.
Jude Bowry,123,6.2,Bowry is a tackle with positional versatility who has the athleticism quickness and anchor to make it at the next level but late hands limited flexibility and questionable reactive ability keep him from being a starting-level player early on.
VJ Payne,124,6.2,Payne offers value in a backup role given his athletic profile willingness to play in any role and ability to disrupt the play though he will need to develop his play recognition and discipline.
JC Davis,125,6.2,Davis is an experienced and dependable prospect that wins with technique who has physical limitations but with proper development and some technical refinement could carve out a nice role on an NFL roster.
Jaishawn Barham,126,6.2,Barham is a bit of a tweener who is transitioning to be an edge rusher full time with high-end speed and quickness off the edge but will need to become a stronger run defender to be a true three-down player.
Jadon Canady,127,6.2,Canady has the quick twitch movements and athleticism to be a versatile coverage defender at the next level but needs to play with more physicality to be a true three-down nickel.
Lander Barton,128,6.2,Barton offers value as a versatile defender but his lack of a pass rush plan ineffective pass rush moves and hesitation to make plays in the run game may limit him to a backup role on passing downs early in his career.
Carver Willis,129,6.2,Willis is a strong run blocker with active hands and the ability to consistently drive defenders off the ball but his inconsistent anchor and functional strength need to improve to become a starting-level player.
Cyrus Allen,130,5.9,Allen can create separation using his short-area quickness route feel or long speed which will allow him to see the field early while he earns more reps.
Josh Cameron,131,5.9,Cameron’s route running and special teams ability should allow him to compete for NFL snaps but his lackluster long speed and inability to consistently win one-on-one situations will likely limit his chances of being a consistent starter at the next level.
Darrell Jackson Jr,132,5.9,Jackson is a nose tackle prospect with impressive physical traits and heavy hands that will need to become more consistent with his pad level to become the starting-caliber player he is capable of.
Antonio Williams,133,5.9,Williams is a shifty receiver who fits best in a slot and gadget-type role in the NFL but deficiencies in straight-line speed size and lack of experience with an NFL route tree will limit him at the next level.
Zane Durant,134,5.9,Durant is an undersized defensive tackle who wins with an explosive first step and initial punch accompanied by good agility and balance but his shortcomings in stoutness against double teams block shedding and pass rush effectiveness will limit him to being a backup one-gap penetrator at the next level.
Domani Jackson,135,5.9,Jackson has the physical tools to be a lockdown cornerback and he flashes the potential to live up to that role but he needs to improve his reactive footwork eye discipline and learn to swallow up space in coverage to show more boom than bust.
Jordan Hudson,136,5.9,Hudson is a savvy receiver with enough size and speed to be a solid rotational player and special teamer at the next level if he can improve his tracking high-pointing and explosiveness.
TJ Hall,137,5.9,Hall has the awareness and coverage skills to be a solid backup outside corner at the next level in a zone-heavy defense while showing the required willingness to defend the run and be a special teams contributor.
Devin Moore,138,5.9,Moore is a long corner with good instincts and awareness but a lanky build lack of play strength and injury concerns may limit his overall ceiling at the next level.
Romello Brinson,139,5.9,Brinson wins with a varied release package route tempo and speed making him a deep threat with starting-level potential but he’ll need to improve his body control toughness and effort to reach that ceiling.
De'Zhaun Stribling,140,5.9,Stribling has the size speed tracking skills and strong hands to be a solid depth receiver at the next level but his lack of true separation skills especially against physical defenders could hold him back early in his career.
Sawyer Robertson,141,5.9,Robertson looks the part of an NFL passer and makes throws that suggest a top draft pick but his inconsistencies and penchant for giving the ball away late in games will prevent him from ever making a consistent impact as the leader of an offense.
Reggie Virgil,142,5.9,Virgil is a long receiver with a thin frame and natural hands who wins with his savvy and skilled approach but his shortcomings in suddenness and play strength could hinder him from reaching his ceiling at the next level.
Tim Keenan III,143,5.9,Keenan is a massive presence in the middle of the defensive line that can plug up run lanes and eat double teams but his lack of production as a pass rusher will limit him to a backup role at the next level.
Devon Marshall,144,5.9,Marshall is a physical outside corner that has the ability to disrupt passes at the catch point and can match up with a variety of receivers but his lack of size high-end speed and technique issues make him a better backup option than a starting-level player.
Deion Burks,145,5.9,Burks is a quick and twitchy receiver who projects to be a backup but has the playmaking ability to be a game-breaker and create explosive plays at the next level.
Kendal Daniels,146,5.9,Daniels is still learning the true linebacker position making his stack-and-shed ability and instincts in the box suspect but his versatility stemming from his safety background make him an intriguing option to develop at the next level.
Jeff Caldwell,147,5.9,Caldwell lacks the polish some prospects offer but his upside is clear given his frame and athleticism giving teams comfort as they wait for him to develop.
John Michael Gyllenborg,148,5.9,Gyllenborg has the size athleticism and physicality to carve out playing time at the next level but he will need to clean up his blocking techniques and leverage to raise his overall game.
Kendrick Law,149,5.9,Law is a gadget player who has the speed burst acceleration and RAC ability to do damage with the ball in his hands but limited separation skills and a minimalistic route tree will present growing pains at the next level.
Charles Demmings,150,5.9,Demmings is a wiry twitched-up corner with good height and length that can be effective immediately at the next level on the outside in a press-man defense though his lack of play recognition and inability to change directions limit his versatility and reliability.
Wesley Williams,151,5.9,Williams is a competitive rangy EDGE whose non-stop motor and active hands make him an intriguing rotational player at the next level as a lack of consistent pass rush ability and setting the edge limit his ability to become a starter early on.
Eric Rivers,152,5.9,Rivers has a clear trait working in his favor in his speed and he has shown rapid development over 3 seasons as a full-time receiver but he will need to stay on this trajectory to overcome his lack of size strength and YAC creation.
Malik Muhammad,153,5.9,Muhammad is a corner with good size and some athletic ability though his inability to mirror receivers and his penchant for grabbing will likely limit him to an outside corner in a zone-based scheme.
Dallen Bentley,154,5.9,Bentley is a big-bodied versatile tight end with soft hands and functional athleticism whose receiving value is ahead of his ability to impose his will as an in-line blocker.
Demond Claiborne,155,5.9,Claiborne’s burst acceleration and elusiveness are traits to build off of but his lack of control as a runner limited pass game impact and ball security concerns make him a backup role runner at the next level.
Zxavian Harris,156,5.9,Harris is a massive versatile defensive lineman who displays a long first step and the ability to work laterally but a high pad level being on the ground too much and limited agility make it an uphill battle for him to succeed at the next level.
Vincent Anthony Jr,157,5.9,Anthony’s prototypical size frame and length along with his quickness off the ball will get him looks as a solid rotational defender at the next level but his stiffness and lack of functional strength currently limit his upside.
Mason Reiger,158,5.9,Reiger is an explosive athlete who can be a quality depth piece to a pass rush unit off the edge but must improve his play strength to be a consistent three-down player.
Rayshaun Benny,159,5.9,Benny has the quick hands and the play strength to carve out playing time at the next level but his lack of explosiveness off the line and inconsistencies shedding blocks will limit his overall usage.
Aiden Fisher,160,5.9,Fisher has the experience natural instinct and communication skills of a veteran Mike linebacker but his frame limitations will make it difficult to be an every-down player.
Gracen Halton,161,5.9,Halton is a traditional penetrating 3-technique that can win at the snap with quickness and hand use overwhelming his opponent on the way to the passer but his lack of bulk play recognition and a secondary pass rush will prevent him from becoming more than a rotational depth piece.
Ted Hurst,162,5.9,Hurst is a long-framed prospect who has a purposeful release and a knack for finding the holes in the defense but he will need to maximize his catch opportunities and put in more effort in the run game to reach his full potential.
Tyler Onyedim,163,5.9,Onyedim is an athletic defensive tackle who displays flashes of high-end twitch and athleticism along the interior as a pass rusher but needs to get stronger as a run defender to reach his full potential.
Diego Pounds,164,5.9,Pounds is a left tackle who shows good strength and leg drive in the run game but his slower footwork and mediocre hip flexibility in pass protection will keep him as a backup.
Patrick Payton,165,5.9,Payton lacks the fluid movement ability and quick wins to warrant a starting role early in his career but his ability to disrupt throwing lanes and effort should afford him a backup rotational position on an NFL roster.
Colbie Young,166,5.9,Young is a big receiver with good route running ability strong hands and a wide catch radius but lacks the consistent separation skills and varied release package to make him more than a top backup.
Kage Casey,167,5.9,Casey is a tackle who possesses good athleticism and intelligence but will need to overcome some physical limitations and refine techniques to become a more complete blocker at the next level.
Hezekiah Masses,168,5.9,Masses is an intriguing cornerback prospect with reactive athleticism press-man coverage ability and ball skills though his lanky build limited strength and tendency to grab in coverage likely hold him back from being a starter early in his career.
Bryce Boettcher,169,5.9,Boettcher is a high-motor naturally instinctive Mike Linebacker who is comfortable in coverage and has the tools to be a quality special teams player but needs to improve his take-on ability to be a true three-down player at the next level.
Kaytron Allen,170,5.9,Allen’s aggressive running style and workhorse ability should allow him to be a quality backup in the NFL but his limited pass game impact and playmaking ability will limit his role.
Nadame Tucker,171,5.9,Tucker is a pass rush specialist with a plus motor who consistently gets after the passer and makes his presence felt but his small stature and struggles in the run game will limit his ability to be a starter at the next level.
Dontay Corleone,172,5.9,Corleone will need to regain his quickness and develop a more NFL-ready pass rushing attack to see a high volume of impactful snaps at the next level.
Kaleb Proctor,173,5.9,Proctor is an explosive and agile 3-tech who gets into the backfield against both the pass and the run but his lack of stoutness will keep him off the field on early downs and absence of a counter move limits his immediate pass rush impact.
